OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Load,Import,Price,Node
5/4/2018,4,5,6,18,3.13,1039.49,27054.71,7198,26.77782,TH_ZP26
5/4/2018,4,5,6,19,3.13,469.81,27173.26,8232,42.12,TH_ZP26
5/4/2018,4,5,6,20,3.13,45.51,27358.7,8853.66,50.8688,TH_ZP26
5/4/2018,4,5,6,21,3.13,0,27868.3,8793.55,62.29892,TH_ZP26
5/4/2018,4,5,6,22,3.13,0,26995.25,8813.95,39.44562,TH_ZP26
5/4/2018,4,5,6,23,3.13,0,24745.42,8536,24.15718,TH_ZP26
5/4/2018,4,5,6,24,3.13,0,22797.42,8552,11.02,TH_ZP26
5/5/2018,5,5,7,1,3.07,0,21701.65,8415,13.57765,TH_ZP26
5/5/2018,5,5,7,2,3.07,0,20589.59,8355,10.67444,TH_ZP26
5/5/2018,5,5,7,3,3.07,0,19791.88,8263,10,TH_ZP26
5/5/2018,5,5,7,4,3.07,0,19388.39,8350,10,TH_ZP26
5/5/2018,5,5,7,5,3.07,0,19382.33,8308,10.48836,TH_ZP26
5/5/2018,5,5,7,6,3.07,0,19834.47,8389,18.92798,TH_ZP26
5/5/2018,5,5,7,7,3.07,77.48,20227.66,8713,23.34907,TH_ZP26
5/5/2018,5,5,7,8,3.07,579.98,20626.9,7021,16.4447,TH_ZP26
5/5/2018,5,5,7,9,3.07,1086.28,20994.55,5880.69,9.02155,TH_ZP26
5/5/2018,5,5,7,10,3.07,1336.38,21472.47,5346.27,8.92997,TH_ZP26
5/5/2018,5,5,7,11,3.07,1485.26,21930.71,5400.17,9.25753,TH_ZP26
5/5/2018,5,5,7,12,3.07,1517.63,22489,5739,11.66653,TH_ZP26
5/5/2018,5,5,7,13,3.07,1523,22890.23,5718,13.62121,TH_ZP26
5/5/2018,5,5,7,14,3.07,1511.44,23670.41,6020,15.16928,TH_ZP26
5/5/2018,5,5,7,15,3.07,1494.12,24760.77,6299,17.63667,TH_ZP26
5/5/2018,5,5,7,16,3.07,1408.24,25340.68,6558,19.45276,TH_ZP26
5/5/2018,5,5,7,17,3.07,1232.62,26196.69,6975,20.66862,TH_ZP26
5/5/2018,5,5,7,18,3.07,902.85,26816.17,8051.2,27.29617,TH_ZP26
5/5/2018,5,5,7,19,3.07,392.82,26968.04,8783.9,40.05156,TH_ZP26
5/5/2018,5,5,7,20,3.07,28.6,26884.55,8709,47.21,TH_ZP26
5/5/2018,5,5,7,21,3.07,0,27239.25,8845,55.44,TH_ZP26
5/5/2018,5,5,7,22,3.07,0,26278.08,8759.8,34,TH_ZP26
5/5/2018,5,5,7,23,3.07,0,24276.41,9198.65,16.79706,TH_ZP26
5/5/2018,5,5,7,24,3.07,0,22501.2,8637,13.47424,TH_ZP26
5/6/2018,6,5,1,1,3.07,0,20925.52,8424,11.23936,TH_ZP26
5/6/2018,6,5,1,2,3.07,0,20031.73,8244,7.09138,TH_ZP26
5/6/2018,6,5,1,3,3.07,0,19348.17,8261,4.02,TH_ZP26
5/6/2018,6,5,1,4,3.07,0,18943.66,8122.98,3.88425,TH_ZP26
5/6/2018,6,5,1,5,3.07,0,18795.85,8295.7,3.92602,TH_ZP26
5/6/2018,6,5,1,6,3.07,0,18822.04,7999,7.30141,TH_ZP26
5/6/2018,6,5,1,7,3.07,77.29,18850.3,7989,8,TH_ZP26
5/6/2018,6,5,1,8,3.07,550.65,19161.47,7056,7.56,TH_ZP26
5/6/2018,6,5,1,9,3.07,1027.52,19795,5715.8,5.53413,TH_ZP26
5/6/2018,6,5,1,10,3.07,1275.93,20037.32,5243,3.57813,TH_ZP26
5/6/2018,6,5,1,11,3.07,1448.26,20495.71,5098,2.05117,TH_ZP26
5/6/2018,6,5,1,12,3.07,1507.08,20964.63,5278,4.9604,TH_ZP26
5/6/2018,6,5,1,13,3.07,1592.47,21335.77,5999,5.63593,TH_ZP26
5/6/2018,6,5,1,14,3.07,1591.17,21891.49,6180,9.58164,TH_ZP26
5/6/2018,6,5,1,15,3.07,1574.64,22783.25,6583,10.42871,TH_ZP26
5/6/2018,6,5,1,16,3.07,1503.43,23477.83,6818,10.92748,TH_ZP26
5/6/2018,6,5,1,17,3.07,1328.75,24338.61,7405,11.42414,TH_ZP26
5/6/2018,6,5,1,18,3.07,1006.95,25397.59,8134.4,32.03887,TH_ZP26
5/6/2018,6,5,1,19,3.07,464.07,25882.09,8582.8,44.0911,TH_ZP26
5/6/2018,6,5,1,20,3.07,49.83,26256.45,8737,52.83919,TH_ZP26
5/6/2018,6,5,1,21,3.07,0,26648.48,8828,56.14636,TH_ZP26
5/6/2018,6,5,1,22,3.07,0,25787.43,9009.6,40.85,TH_ZP26
5/6/2018,6,5,1,23,3.07,0,23646.93,8833.6,22.47166,TH_ZP26
5/6/2018,6,5,1,24,3.07,0,21610.79,8689,12.94297,TH_ZP26
5/7/2018,7,5,2,1,3.07,0,20396.95,8388,17.03203,TH_ZP26
5/7/2018,7,5,2,2,3.07,0,19711.09,8409,12.3973,TH_ZP26
5/7/2018,7,5,2,3,3.07,0,19067.87,8239,9.60879,TH_ZP26
5/7/2018,7,5,2,4,3.07,0,18889.94,8261,8.3002,TH_ZP26
5/7/2018,7,5,2,5,3.07,0,19224.8,8453,12.05658,TH_ZP26
5/7/2018,7,5,2,6,3.07,0,20278.39,8925,25.5471,TH_ZP26
5/7/2018,7,5,2,7,3.07,89.69,22134.6,9432,34.46385,TH_ZP26
5/7/2018,7,5,2,8,3.07,617.66,23570.2,8083,27.05377,TH_ZP26
5/7/2018,7,5,2,9,3.07,1203.24,24027.26,6422,18.94714,TH_ZP26
5/7/2018,7,5,2,10,3.07,1474.35,24532.75,6367,17.42066,TH_ZP26
